package,capability,status,evidence_tier,reference,gate,last_verified,recommended_use
LibeRtAD,Scalar and vector automatic differentiation,implemented,verified,Analytic and finite-difference derivative fixtures,LibeRtAD test-engine and test-properties,2026-07-23,Research and teaching
LibeRtAD,Sparse Jacobian and Hessian execution,implemented,verified,Dense derivative path and finite differences,LibeRtAD sparse derivative tests,2026-07-23,Research and teaching
LibeRtAD,Persistent portable CppAD graph cache,implemented,verified,Round-trip and provenance rejection fixtures,LibeRtAD cache tests,2026-07-23,Research and teaching
LibeRtAD,CppAD and Eigen bundled provenance,implemented,verified,Installed header and engine provenance checks,LibeRtAD installed-header tests,2026-07-23,Research and teaching
LibeRation,ADVAN1-13 predictions,implemented,validated,NONMEM 7.3 generated fixtures including ADVAN9 equilibrium DAE,NONMEM prediction gate,2026-07-24,Research and teaching
LibeRation,ADVAN14 predictions,implemented,verified,Internal stiff-system and cross-ADVAN fixtures plus independent SciML Rodas5P trajectory agreement; external NONMEM 7.3 lacks ADVAN14,LibeRation ADVAN and external-comparator gates,2026-07-24,Research and teaching
LibeRation,Bolus and intermittent-infusion steady state,implemented,validated,NONMEM 7.3 and analytic accumulation fixtures,NONMEM steady-state gate,2026-07-23,Research and teaching
LibeRation,Modelled infusion rate and duration,implemented,validated,NONMEM 7.3 generated fixtures,NONMEM infusion gate,2026-07-23,Research and teaching
LibeRation,FOCEI estimation and covariance,implemented,validated,NONMEM 7.3 compact population fixture,NONMEM FOCEI gate,2026-07-23,Research and teaching
LibeRation,FO/FOCE/Laplace/ITS/GQ estimation,implemented,validated,Matched NONMEM 7.3 controls plus nlmixr2 FO and FOCE parameters and modes plus independent adaptive marginal integration,Estimation-method and external-comparator gates,2026-07-24,Research and teaching
LibeRation,IMP/SAEM/BAYES estimation,implemented,validated,Matched high-sample NONMEM 7.3 controls plus independent marginal and posterior references,Estimation-method validation gate,2026-07-24,Research and teaching
LibeRation,HMC/NUTS and NPML/NPAG estimation,implemented,validated,Independent normalized posterior and fixed/adaptive support EM references,Estimation-method validation gate,2026-07-24,Research and teaching
LibeRation,Full OMEGA IOV BLQ mixtures priors and time-varying covariates,implemented,validated,Independent nlmixr2 advanced population fixtures plus analytic mixture and prior gates,External-comparator population gate,2026-07-25,Research and teaching
LibeRation,Correlated residual endpoints and AR1 residuals,implemented,verified,Unit derivative likelihood and simulation fixtures,LibeRation model and likelihood tests,2026-07-25,Research and teaching
LibeRation,Bernoulli categorical Poisson negative-binomial TTE recurrent competing-risk and observed Markov likelihoods,implemented,validated,Independent normalized likelihoods plus NONMEM 7.3 Bernoulli TTE and observed-Markov fixtures,Non-PK likelihood validation gate,2026-07-24,Research and teaching
LibeRation,Ordinal binomial zero-inflated and hurdle likelihoods,implemented,verified,Normalized likelihood and predictive simulation fixtures plus external glmmTMB agreement for binomial and zero-inflated Poisson,Outcome-family and external-comparator gates,2026-07-24,Research and teaching
LibeRation,HMM and CT-HMM likelihood filtering smoothing and Viterbi,implemented,validated,Exact state-path enumeration analytic two-state continuous-time reference and independent hmmTMB agreement,Non-PK latent-state and external-comparator gates,2026-07-24,Research and teaching
LibeRation,HSMM and factorial HMM inference,implemented,verified,Exact expanded-state and chain-marginal unit fixtures,LibeRation HMM tests,2026-07-24,Research and teaching
LibeRation,Linear Gaussian state-space inference,implemented,validated,Independent closed-form Kalman reference plus KFAS objective filtered-state and uncertainty agreement,Non-PK and external-comparator state-space gates,2026-07-24,Research and teaching
LibeRation,ARMA EKF UKF particle and switching state-space inference,implemented,verified,Linear-limit finite-difference and seeded reproducibility fixtures,LibeRation state-space tests,2026-07-24,Research and teaching
LibeRation,Additive-noise continuous-discrete SDE filtering and fixed-step simulation,experimental,validated,Exact Ornstein-Uhlenbeck transition independent Kalman recursion seeded moments and metamorphic identity,Experimental numerical-family validation gate,2026-07-24,Experimental research only
LibeRation,Named multiplicative and nonlinear fixed-step SDE simulation edges,experimental,validated,Exact geometric-Brownian Euler and Milstein moments plus independent logistic Monte Carlo,Experimental edge-family validation gate,2026-07-24,Experimental research only
LibeRation,Seeded particle SDE likelihood and fixed-ancestry gradient,experimental,validated,Discrete Kalman limit plus replicated independent pomp and bssm particle filters and fixed-path finite differences,Experimental edge-family and external-comparator gates,2026-07-24,Experimental research only
LibeRation,Smooth-history DDE method of steps and delay sensitivity,experimental,validated,Closed-form two-interval solution convergence law and analytic delay derivative,Experimental numerical-family validation gate,2026-07-24,Experimental research only
LibeRation,Parameterized DDE delays crossing bolus discontinuities and stiff smooth histories,experimental,validated,Closed-form repeated-event superposition and high-rate method-of-steps solution,Experimental edge-family validation gate,2026-07-24,Experimental research only
LibeRation,Canonical nonlinear index-1 DAE,experimental,validated,Analytic reduced-system prediction and implicit sensitivity,Experimental numerical-family validation gate,2026-07-24,Experimental research only
LibeRation,Larger block-sparse and coupled stiff index-1 DAE fixtures,experimental,validated,Six analytic nonlinear blocks and closed-form coupled triangular reduction,Experimental edge-family validation gate,2026-07-24,Experimental research only
LibeRation,Canonical QSP reaction networks,experimental,validated,Closed-form species amounts sensitivities and conservation plus external deSolve SciML and nonlinear COPASI trajectory agreement,Experimental-family and external-comparator gates,2026-07-24,Experimental research only
LibeRation,Larger and stiff QSP fixtures with compact recovery,experimental,validated,Ten-species Erlang chain stiff reversible reaction conservation sensitivities and closed-form recovery,Experimental edge-family validation gate,2026-07-24,Experimental research only
LibeRation,Immutable offline hybrid components and learned dynamics,experimental,validated,Independent dense spline Gaussian-process likelihood gradient and learned-ODE calculations,Experimental numerical-family validation gate,2026-07-24,Experimental research only
LibeRation,Hybrid numerical and immutable-payload edges,experimental,validated,Extreme stable softplus ReLU spline boundaries anisotropic GP gradients and hash rejection,Experimental edge-family validation gate,2026-07-24,Experimental research only
LibeRation,General nonlinear or large SDE DDE DAE QSP and hybrid systems,experimental,verified,Canonical low-dimensional coverage only,LibeRation experimental-family tests,2026-07-24,Experimental research only
LibeRation,MU modelling round-trip and estimator specialization,implemented,validated,Algebraic invariance fixtures plus paired conventional and MU-referenced NONMEM 7.3 FOCEI IMP and SAEM estimate ETA and runtime comparisons across single and dual ETA estimated diagonal or full OMEGA SIGMA and covariate designs,LibeRation advanced-inference tests and generalized MU-reference external comparison gate,2026-07-27,Research and teaching
LibeRation,Sampling importance resampling,implemented,verified,Exact population-objective weighting reproducibility and ESS fixtures,LibeRation advanced-inference tests,2026-07-26,Research and teaching
LibeRation,Reproducible model comparison,implemented,verified,Serialized provenance information-criterion nested-LRT and bootstrap-calibration fixtures,LibeRation advanced-inference tests,2026-07-26,Research and teaching
LibeRation,Bayesian PPC WAIC and subject-marginal PSIS-LOO,implemented,verified,Posterior simulation subject likelihood and deterministic criterion fixtures,LibeRation advanced-inference tests,2026-07-26,Research and teaching
LibeRation,Stratified cluster-aware and parametric bootstrap,implemented,verified,Seeded resampling and simulation-refit fixtures,LibeRation advanced-inference tests,2026-07-26,Research and teaching
LibeRation,Native noncompartmental analysis,implemented,validated,Analytic mono-exponential fixtures and multi-subject Theoph agreement with ncar 0.7.0 and NonCompart 0.8.2,LibeRation NCA validation tests,2026-07-31,Research and teaching
LibeRation,Local and remote graphical workflow,implemented,verified,Browser and queue integration fixtures,Ecosystem integration and browser CI,2026-07-23,Research and teaching
